StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Purdue student?,Program,Other_Program,Age_Group,Gender,Current_Living,On_Campus_ReasonsToChoose,On_Campus_ReasonsToChoose_Other,On_Campus_StrongestReasonToChoose,On_Campus_StrongestReasonToChoose_ Other ,Current_Rent_Ex_Utility,Next_Sem_OffCampus?,Off_Campus_CampusProximity,Off_Campus_UtilityProximity,Campus_Commute,Campus_Commute_Other,Amenities_Community_Events,Amenities_Advanced_Study_Rooms,Amenities_Sports_Facilities,Amenities_ 24/7_Maintenance,Amenities_Enhanced_Security,Amenities_ Sustainable_Features,Preference_Private_Bathroom,Preference_OffCampus_Rent,Recommend_CurrentHousing
25-09-2024 19:02,25-09-2024 19:04,Survey Preview,,100,124,TRUE,25-09-2024 19:04,R_3OI8xzYol0KdikO,,,,,40.4444,-86.9256,preview,EN,1,Yes,Masters,,18 - 22,Female,On-campus,Proximity to classes,,Affordability,,$751-$1000,Yes,Very important,Neutral,Bus/Shuttle service,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,$751-$1000,
25-09-2024 19:05,25-09-2024 19:06,Survey Preview,,100,49,TRUE,25-09-2024 19:06,R_3G7ccw2rOx3xCyu,,,,,40.4444,-86.9256,preview,EN,1,Yes,Other,bnkmlklk,23 - 25,Prefer Not to Say,On-campus,"Affordable housing options,Availability of meal plans,Access to on-campus amenities (gym, study areas, etc.),I prefer the community experience,Other (please specify)",,Affordability,,$1001-$1250,No,,,,,,,,,,,,,
25-09-2024 19:06,25-09-2024 19:07,Survey Preview,,100,64,TRUE,25-09-2024 19:07,R_3oI7LM7zV2mWkXu,,,,,40.4444,-86.9256,preview,EN,1,Yes,PhD,,23 - 25,Non-binary / Third Gender,Off-campus,,,,,,,Very important,Very important,Bus/Shuttle service,,,Somewhat unimportant,Very important,,Somewhat important,Neutral,2,$500-$750,
25-09-2024 19:14,25-09-2024 19:14,Survey Preview,,100,45,TRUE,25-09-2024 19:14,R_3Id8BE2q85YsWFC,,,,,40.4444,-86.9256,preview,EN,1,Yes,PhD,,18 - 22,Non-binary / Third Gender,On-campus,Affordable housing options,,Safety,,$751-$1000,No,,,,,,,,,,,,,
26-09-2024 07:59,26-09-2024 08:03,Survey Preview,,100,228,TRUE,26-09-2024 08:03,R_3dGqUyhRPRL3vLv,,,,,40.4444,-86.9256,preview,EN,1,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Very important,Somewhat important,Walk,,Somewhat unimportant,Neutral,Neutral,Neutral,Very important,Very important,4,$751-$1000,
26-09-2024 08:03,26-09-2024 08:03,Survey Preview,,100,5,TRUE,26-09-2024 08:03,R_3mdTHZyypZ5AAs3,,,,,40.4444,-86.9256,preview,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,
26-09-2024 08:25,26-09-2024 08:26,Survey Preview,,100,54,TRUE,26-09-2024 08:26,R_3E7gV2FUPicAMw7,,,,,40.4444,-86.9256,preview,EN,1,Yes,PhD,,30 and above,Female,Off-campus,,,,,,,Somewhat important,Very unimportant,Personal car,,Somewhat unimportant,Somewhat important,Neutral,Very important,Neutral,Somewhat unimportant,4,$751-$1000,Neutral
26-09-2024 08:36,26-09-2024 08:37,Survey Preview,,100,57,TRUE,26-09-2024 08:37,R_3PNOGwEYVOopiT2,,,,,40.4444,-86.9256,preview,EN,1,Yes,Other,,18 - 22,Female,Off-campus,,,,,,,Very important,Very important,Bicycle,,Neutral,Somewhat important,Neutral,Somewhat important,Neutral,Very important,5,$1001-$1250,Neutral
26-09-2024 12:17,26-09-2024 12:18,Survey Preview,,100,17,TRUE,26-09-2024 12:18,R_36eWVZm8DfgdH5A,,,,,40.4444,-86.9256,preview,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,
26-09-2024 12:20,26-09-2024 12:22,Survey Preview,,100,125,TRUE,26-09-2024 12:22,R_3EbMRDqSKU9m6rF,,,,,40.4444,-86.9256,preview,EN,1,Yes,Masters,,26 - 29,Female,On-campus,"Proximity to classes,Safety,Availability of meal plans,Access to on-campus amenities (gym, study areas, etc.)",,Affordability,,$751-$1000,Yes,Somewhat important,Somewhat important,Bus/Shuttle service,,Somewhat unimportant,Neutral,Somewhat important,Very important,Somewhat important,Neutral,5,$751-$1000,Neutral
26-09-2024 12:22,26-09-2024 12:23,Survey Preview,,100,57,TRUE,26-09-2024 12:23,R_3ALFzAcz5La7Uqt,,,,,40.4444,-86.9256,preview,EN,1,Yes,Masters,,26 - 29,Female,Off-campus,,,,,,,Somewhat important,Very important,Bus/Shuttle service,,Somewhat unimportant,Neutral,Somewhat important,Somewhat important,Somewhat important,Very important,5,$751-$1000,Very Likely
26-09-2024 12:38,26-09-2024 12:39,Survey Preview,,100,57,TRUE,26-09-2024 12:39,R_3omML5Nusyy5L0y,,,,,40.4444,-86.9256,preview,EN,1,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Somewhat important,Somewhat important,Personal car,,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,4,$1001-$1250,Somewhat Likely
26-09-2024 13:08,26-09-2024 13:08,Survey Preview,,100,12,TRUE,26-09-2024 13:08,R_3Bbze9MYpsGZF1T,,,,,40.4444,-86.9256,preview,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,
26-09-2024 13:13,26-09-2024 13:13,Survey Preview,,100,10,TRUE,26-09-2024 13:13,R_3d1WTzgVHVpggxz,,,,,40.4444,-86.9256,preview,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,
26-09-2024 13:13,26-09-2024 13:15,Survey Preview,,100,96,TRUE,26-09-2024 13:15,R_3lEMYZqeYcufOMS,,,,,40.4444,-86.9256,preview,EN,0.800000012,Yes,Masters,,26 - 29,Female,On-campus,"Safety,Affordable housing options",,Proximity to classes,,$500-$750,Yes,Somewhat important,Somewhat important,Bus/Shuttle service,,Somewhat unimportant,Neutral,Neutral,Neutral,Somewhat important,Very important,3,$751-$1000,Somewhat Likely
26-09-2024 13:15,26-09-2024 13:16,Survey Preview,,100,62,TRUE,26-09-2024 13:16,R_3kBM0qaBOOVfeG0,,,,,40.4444,-86.9256,preview,EN,1,Yes,Masters,,26 - 29,Female,Off-campus,,,,,,,Neutral,Neutral,Bus/Shuttle service,,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,5,$1001-$1250,Very Likely
26-09-2024 15:24,26-09-2024 15:26,IP Address,195.252.200.106,100,110,TRUE,26-09-2024 15:26,R_7oI8bRgiou7TaTv,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,26 - 29,Female,On-campus,"Safety,Affordable housing options",,Affordability,,$500-$750,Yes,Somewhat important,Very important,Bus/Shuttle service,,Somewhat important,Neutral,Neutral,Neutral,Somewhat important,Somewhat unimportant,4,$1001-$1250,Somewhat Likely
26-09-2024 15:38,26-09-2024 15:39,IP Address,195.252.200.106,100,103,TRUE,26-09-2024 15:40,R_1zO4Z7droo5ROg0,,,,,40.4444,-86.9256,anonymous,EN,0.800000012,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Somewhat important,Somewhat important,Bus/Shuttle service,,Neutral,Neutral,Neutral,Somewhat important,Somewhat important,Somewhat unimportant,4,$751-$1000,Somewhat Likely
26-09-2024 15:45,26-09-2024 15:46,IP Address,199.120.49.39,100,68,TRUE,26-09-2024 15:46,R_310s7MPGUUUz0WH,,,,,39.4886,-119.7366,anonymous,EN,0.899999976,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Very important,Somewhat important,Bus/Shuttle service,,Very unimportant,Somewhat unimportant,Somewhat unimportant,Very important,Very important,Somewhat important,4,$500-$750,Somewhat Likely
